Line,Games,Wins,Losses,Win%,E(ML)
14.5,131,10,121,7.63,1210.0
13.0,79,13,66,16.46,507.0
12.5,43,8,35,18.6,437.0
12.0,53,6,47,11.32,783.0
11.5,40,8,32,20.0,400.0
11.0,102,21,81,20.59,385.0
10.5,103,23,80,22.33,347.0
10.0,203,42,161,20.69,383.0
9.5,142,26,115,18.31,446.0
9.0,197,48,148,24.37,310.0
8.5,140,27,113,19.29,418.0
8.0,175,40,134,22.86,337.0
7.5,202,49,153,24.26,312.0
7.0,496,134,360,27.02,270.0
6.5,377,124,253,32.89,204.0
6.0,398,122,275,30.65,226.0
5.5,256,82,171,32.03,212.0
5.0,221,70,151,31.67,215.0
4.5,264,91,172,34.47,190.0
4.0,405,145,260,35.8,179.0
3.5,584,227,356,38.87,157.0
3.0,1069,445,623,41.63,140.0
2.5,433,203,229,46.88,113.0
2.0,355,154,200,43.38,130.0
1.5,228,124,104,54.39,119.0
1.0,316,145,171,45.89,117.0
0.0,122,53,69,43.44,130.0
13.5,74,14,60,18.92,428.0
14.0,66,11,55,16.67,499.0
